text,size,topic
traditional_chinese,228,3
coronavirus_infection,79,3
traditional_chinese_medicine,174,3
crown_pneumonia,33,3
deep_learning,19,3
covid_vid,18,3
traditional_chinese_medicine_preparation,19,3
artificial_intelligence,32,3
traditional_chinese_medicines,52,3
traditional_chinese_medicine_composition,68,3
