text,size,topic
coronavirus_gene,23,5
viral_infection,28,5
coronavirus_pneumonia,66,5
biological_medicines,157,5
pharmaceutical_composition,171,5
small_interfering_nucleic,20,5
small_interfering_nucleic_acid,20,5
small_interfering,20,5
viral_infections,22,5
