text,size,topic
coronavirus_antigen,18,1
coronavirus_detection,59,1
coronavirus_antibody,29,1
primer_group,24,1
test_strip,21,1
genetic_engineering,25,1
coronavirus_nucleic,28,1
preparation_method,468,1
construction_method,23,1
colloidal_gold,32,1
biological_detection,58,1
infectious_disease,62,1
coronavirus_protein,22,1
virus_detection,83,1
detection_kit,30,1
coronavirus_nucleic_acid,28,1
pharmaceutical_chemistry,20,1
coronavirus_sars-cov-2,52,1
biological_medicine,49,1
