text,size,topic
amino_acid,686,2
nucleic_acids,29,2
amino_acids,48,2
antigen-binding_fragment,48,2
nucleotide_sequence,28,2
fusion_protein,43,2
immune_response,27,2
antigen_binding,34,2
nucleic_acid_detection,62,2
sars-cov-2_virus,31,2
cell_surface,30,2
target_antigen,84,2
nucleic_acid_sequence,44,2
ordinary_skill,23,2
nucleic_acid,257,2
amino_acid_sequence,522,2
